School,Program,Level,Added on,Decision,GPA,GRE V,GRE Q,GRE AW,Comment
Ecole Polytechnique Federale De Lausanne (EPFL),"Masters, MTE",Masters,"March 02, 2013",Wait,3.00,,,,"Guys, can you also post your profile along with the results, just for the purpose of benchmarking. Thanks"
Ecole Polytechnique Federale De Lausanne (EPFL),Microengineering,Masters,"March 02, 2013",Accepted,3.36,162,,3.50,There comes my first admit!!
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Masters,"March 01, 2013",Accepted,3.88,144,,3.00,"Unfortunately no funding, but promising from Amirkabir University of Tech"
Ecole Polytechnique Federale De Lausanne (EPFL),Computational Science and Engineering,Masters,"March 01, 2013",Accepted,,,,,"From University of Tehran, Iran. From the shore of the Persian Gulf !"
Ecole Polytechnique Federale De Lausanne (EPFL),Microengineering,Masters,"March 01, 2013",Accepted,3.70,155,,3.50,why no scholarship!!! :( bleed me dry >.
Ecole Polytechnique Federale De Lausanne (EPFL),Molecular And Biological Chemistry,Masters,"March 01, 2013",Accepted,,,,,Reserve fellowship candidate... Hope for the best..
Ecole Polytechnique Federale De Lausanne (EPFL),Materials Science And Engineering,Masters,"March 01, 2013",Accepted,3.75,,,,without scholarship
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Financial Engineering,Masters,"March 01, 2013",Accepted,,,,,"burs vermeyen devr-i devranini, izzet-i ikramını sikeyim EPFL"
Ecole Polytechnique Federale De Lausanne (EPFL),Communication Systems,Masters,"March 01, 2013",Accepted,3.93,,,,I am still in the reserve list for the fellowship.
Ecole Polytechnique Federale De Lausanne (EPFL),Materials Science And Engineering,Masters,"March 01, 2013",Accepted,3.70,160,,4.00,No fellowship...shit = =
Ecole Polytechnique Federale De Lausanne (EPFL),Mathematical Finance,Masters,"March 01, 2013",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"March 01, 2013",Accepted,3.90,161,,4.00,No fellowship
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"March 01, 2013",Accepted,,,,,Accepted without Fellowship.
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering,Masters,"March 01, 2013",Accepted,3.69,169,,4.50,"""We are sorry to inform you that you have not been granted an EPFL Fellowship"""
Ecole Polytechnique Federale De Lausanne (EPFL),Microengineering,Masters,"March 01, 2013",Accepted,3.70,155,,3.50,without scholarship :(
Ecole Polytechnique Federale De Lausanne (EPFL),Environmental Sciences And Engineering,Masters,"March 01, 2013",Accepted,,,,,wish everyone good luck!
Ecole Polytechnique Federale De Lausanne (EPFL),Chemical Engineering And Biochemistry,Masters,"February 26, 2013",Rejected,,,,,:( Gone are my swiss dreams
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Economics and Public Policy,Masters,"June 13, 2012",Accepted,2.80,510,,4.50,Grad GPA 4.0 and 3.6
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"June 05, 2012",Accepted,3.30,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering,Masters,"March 09, 2012",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Mathematics,Masters,"March 09, 2012",Accepted,3.65,450,,3.50,
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"February 24, 2012",Rejected,3.40,,,,low GPA=> no addmission even if there are lots of awards and publications.
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"February 24, 2012",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Management of Technology,Masters,"February 24, 2012",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Management of Technology,Masters,"February 24, 2012",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Energy Management,Masters,"February 24, 2012",Rejected,3.60,146,,4.00,F...K EPFL
Ecole Polytechnique Federale De Lausanne (EPFL),Financial Engineering,Masters,"February 24, 2012",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Electrical Engineering,Masters,"February 24, 2012",Rejected,3.90,,,,"Sad, very sad"
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Masters,"February 24, 2012",Accepted,3.78,,,,Without scholarship
